C1,C2,R
0.090625,0.10876,1.1447
0.075774,0.16689,1.1375
0.078656,0.25574,1.1162
0.096802,0.38974,1.0776
0.13323,0.58711,1.0129
0.19351,0.865,0.90573
0.27792,1.2181,0.72694
0.35206,1.5364,0.42996
0.28215,1.3769,0.096273
0.12209,0.79511,0.042646
0.062909,0.51894,0.24741
0.076876,0.62428,0.92619
0.12386,0.87724,0.92441
0.20181,1.1912,0.77604
0.30468,1.4774,0.53237
0.35065,1.4365,0.2032
0.23376,0.85586,0.070358
0.15798,0.44956,0.27791
0.22186,0.36662,0.95322
0.38445,0.3249,0.98755
0.66058,0.2681,0.90398
1.0634,0.20223,0.74079
1.4296,0.1349,0.46204
1.1782,0.071724,0.20531
0.47301,0.039062,0.51184
0.091837,0.036226,1.1256
0.015766,0.040545,1.1831
0.0059447,0.04946,1.1864
0.0042744,0.064095,1.1839
0.0046433,0.086724,1.1788
0.006501,0.12093,1.1705
0.010613,0.17202,1.1576
0.018972,0.24753,1.1374
0.035676,0.3576,1.1056
0.068643,0.51444,1.055
0.13208,0.72897,0.97288
0.24742,0.99874,0.83613
0.42846,1.2681,0.60144
0.57917,1.2918,0.22895
0.41298,0.74164,0.039794
0.24111,0.31422,0.10224
0.28118,0.20515,0.80117
0.51883,0.19158,0.98363
0.94471,0.18131,0.83184
1.5135,0.16054,0.49747
1.3999,0.097332,0.062064
0.53855,0.036421,0.029251
0.18445,0.019719,0.46932
0.12686,0.022887,1.136
0.10656,0.03025,1.159
0.10561,0.041787,1.158
0.12193,0.059454,1.1499
0.15819,0.086204,1.1333
0.22117,0.12626,1.1047
0.31965,0.18526,1.0582
0.45666,0.26973,0.98598
0.60886,0.38487,0.88305
0.69217,0.53002,0.76293
0.57195,0.70029,0.69031
0.26312,0.91813,0.74065
0.066186,1.2305,0.77397
0.019819,1.6082,0.65219
0.0092343,1.8773,0.40916
0.0048351,1.6367,0.1529
0.0023828,0.99011,0.12346
0.0020213,0.6857,0.6041
0.0032065,0.62519,1.0061
0.0058032,0.51688,1.0515
0.011094,0.34858,1.0961
0.022044,0.18528,1.1394
0.044895,0.087141,1.1625
0.092541,0.045075,1.1626
0.1912,0.028715,1.1406
0.3921,0.02245,1.0848
0.7843,0.020478,0.95968
1.4554,0.020111,0.67251
1.8677,0.016264,0.10201
0.96919,0.0069513,0.0036093
0.43017,0.0028987,0.008406
0.22417,0.0015166,0.18594
0.30365,0.0017791,1.0396
0.52676,0.0025716,1.0432
0.88438,0.0036977,0.91612
1.3287,0.0050853,0.69276
1.4896,0.0061556,0.3906
0.86042,0.0062704,0.36996
0.15523,0.0082166,1.0465
0.010497,0.012664,1.1899
0.0019818,0.019738,1.1948
0.00094771,0.030806,1.1929
0.00080999,0.048098,1.1891
0.00098579,0.07507,1.183
0.0014854,0.11704,1.1734
0.002543,0.18205,1.1582
0.0046891,0.28209,1.1341
0.0089959,0.43421,1.0957
0.017515,0.6608,1.0338
0.033828,0.98529,0.933
0.062784,1.4112,0.76453
0.10394,1.8353,0.4752
0.11511,1.7251,0.09827
0.067162,0.96852,0.021149
0.038506,0.53402,0.079833
0.04416,0.51075,0.72982
0.085578,0.74219,0.97591
0.16583,1.0774,0.84837
0.2956,1.4609,0.6004
0.39857,1.5801,0.18803
0.26056,0.94873,0.019163
0.13828,0.47154,0.034555
0.11488,0.32755,0.42716
0.20983,0.42521,1.0006
0.41445,0.5887,0.91365
0.76666,0.77138,0.68022
1.1135,0.82326,0.22881
0.73604,0.44814,0.013471
0.3711,0.18158,0.018527
0.25361,0.090668,0.26271
0.42432,0.095458,0.99179
0.83255,0.11903,0.90871
1.4924,0.14258,0.5811
1.6306,0.1176,0.050292
0.79644,0.052482,0.003988
0.35279,0.023223,0.017036
0.22434,0.014775,0.39834
0.34966,0.01969,1.0679
0.60368,0.028696,1.0111
0.98969,0.041048,0.85888
1.4008,0.055041,0.60247
1.344,0.062377,0.31602
0.59502,0.063737,0.49966
0.073674,0.089619,1.1096
0.0070528,0.13806,1.1647
0.0019457,0.21334,1.1508
0.0011688,0.32853,1.1238
0.0011308,0.50232,1.0806
0.0014476,0.75825,1.0119
0.0021553,1.118,0.90133
0.0033798,1.5735,0.72029
0.004927,1.9787,0.42071
0.0047975,1.7393,0.083537
0.0027278,0.96517,0.02957
0.0017313,0.56677,0.15503
0.0024503,0.61818,0.88746
0.0047985,0.86727,0.97061
0.0092713,1.1945,0.86438
0.016945,1.5546,0.7002
0.027599,1.8045,0.4714
0.035299,1.6443,0.2389
0.035389,1.0898,0.22093
0.048346,0.73063,0.71377
0.093142,0.47788,1.0126
0.18892,0.21633,1.0747
0.38651,0.07133,1.0658
0.7772,0.025493,0.95807
1.456,0.011775,0.67659
1.895,0.0054716,0.10065
1.0087,0.0015664,0.0029785
0.48436,0.00049131,0.0052042
0.26335,0.00019309,0.087704
0.34406,0.00016731,0.9135
0.68635,0.00021647,0.99518
1.3115,0.00028273,0.75627
1.9481,0.00031165,0.20823
1.1537,0.00016918,0.0043334
0.53479,7.82E-05,0.0042829
0.26103,3.93E-05,0.062758
0.284,3.83E-05,0.8663
0.52321,5.69E-05,1.0439
0.95059,8.40E-05,0.8991
1.5457,0.00011547,0.59311
1.6139,0.0001175,0.11717
0.60156,6.82E-05,0.03982
0.14493,5.42E-05,0.60958
0.058862,8.08E-05,1.1696
0.035264,0.00012607,1.1883
0.03112,0.00019712,1.1905
0.036736,0.0003083,1.1893
0.05266,0.00048201,1.1852
0.08533,0.00075273,1.1763
0.1487,0.0011725,1.1588
0.26883,0.0018168,1.1246
0.48903,0.0027848,1.058
0.86357,0.0041686,0.92824
1.3844,0.0058882,0.67966
1.6333,0.0069266,0.27225
0.79935,0.0052556,0.10126
0.17493,0.0050444,0.78444
0.033764,0.0076727,1.1787
0.011508,0.012004,1.1931
0.0074995,0.018797,1.1934
0.0076073,0.02943,1.1912
0.01019,0.046046,1.1869
0.01619,0.07196,1.1795
0.028505,0.11223,1.167
0.053259,0.17444,1.1458
0.10257,0.26948,1.1089
0.19903,0.41158,1.0431
0.37941,0.61429,0.92198
0.6779,0.8683,0.68807
0.95303,1.0179,0.24199
0.59682,0.64217,0.014722
0.25793,0.32226,0.019474
0.14462,0.20928,0.28415
0.20274,0.27881,1.0214
0.34266,0.41998,0.98906
0.56454,0.61483,0.83958
0.83041,0.83455,0.57238
0.84019,0.89352,0.18538
0.3567,0.59546,0.059563
0.11197,0.43869,0.33485
0.074393,0.58663,0.97327
0.0703,0.87315,0.94788
0.077943,1.2642,0.81141
0.091351,1.7067,0.57793
0.091394,1.8796,0.21681
0.051669,1.2473,0.03326
0.024424,0.68407,0.051968
0.019722,0.5488,0.47995
0.033449,0.76899,0.96493
0.061899,1.1292,0.87241
0.10894,1.5716,0.66094
0.15892,1.8683,0.30015
0.12502,1.3508,0.03457
0.066207,0.71029,0.02642
0.045195,0.45586,0.2287
0.071912,0.57351,0.94858
0.14095,0.85015,0.93309
0.26444,1.2149,0.74948
0.42868,1.5431,0.40521
0.39569,1.2488,0.042807
0.20744,0.64254,0.013955
0.11684,0.34937,0.087341
0.14281,0.35212,0.81349
0.27949,0.51664,0.97971
0.53678,0.74629,0.81264
0.90671,0.97226,0.4581
0.85901,0.79655,0.03607
0.43136,0.39184,0.0075928
0.2187,0.19405,0.044105
0.21127,0.16105,0.65942
0.39881,0.22873,1.0149
0.76222,0.32891,0.86735
1.3028,0.43445,0.52423
1.2948,0.37611,0.045546
0.58941,0.18381,0.0075212
0.23691,0.09133,0.056273
0.18833,0.084052,0.82633
0.27402,0.12317,1.0844
0.41255,0.18306,1.0285
0.5976,0.26777,0.93328
0.77442,0.37929,0.80233
0.78948,0.51144,0.67787
0.49426,0.66868,0.69053
0.1285,0.91104,0.83432
0.023467,1.2751,0.81201
0.0076974,1.7049,0.62998
0.0039279,1.9633,0.32284
0.0018471,1.4979,0.071038
0.00078194,0.81043,0.071949
0.00060901,0.57829,0.54637
0.00098742,0.65369,1.0072
0.0018055,0.74866,0.9983
0.0033958,0.8042,0.97553
0.0064955,0.78062,0.97366
0.012651,0.64407,1.006
0.025234,0.40586,1.0693
0.051583,0.17539,1.1302
0.10701,0.061016,1.1518
0.22238,0.024812,1.1322
0.45729,0.013548,1.0676
0.91135,0.0094908,0.91814
1.6442,0.0075844,0.56697
1.71,0.0045574,0.033953
0.83828,0.0016897,0.0026293
0.39259,0.00066712,0.010157
0.23934,0.0003515,0.23719
0.37979,0.00041631,1.0348
0.72329,0.00058566,0.98303
1.2982,0.00080523,0.75102
1.8329,0.00094355,0.26829
1.0423,0.00058819,0.015792
0.30481,0.0003022,0.054752
0.12158,0.00028913,0.89622
0.09085,0.00043981,1.1678
0.0846,0.00068156,1.1739
0.095477,0.0010583,1.1716
0.12489,0.0016436,1.1635
0.1804,0.0025487,1.1477
0.2755,0.0039364,1.1195
0.42704,0.0060316,1.0718
0.64231,0.0091099,0.99645
0.87971,0.01343,0.89352
0.98108,0.019176,0.80671
0.69439,0.027151,0.87322
0.15019,0.040479,1.1025
0.013382,0.062861,1.1781
0.0029851,0.098136,1.1769
0.001564,0.15297,1.1651
0.0014023,0.23769,1.1455
0.0017395,0.36733,1.1143
0.0026108,0.56262,1.0647
0.0043445,0.8485,0.98521
0.0075154,1.2437,0.85583
0.012625,1.7177,0.64027
0.017774,2.0152,0.2887
0.013917,1.4591,0.038636
0.0075672,0.78251,0.033168
0.0055687,0.53158,0.28175
0.0092774,0.69187,0.95561
0.018203,1.0242,0.9237
0.034212,1.4629,0.75607
0.056944,1.8941,0.46725
0.063173,1.771,0.098355
0.037363,0.99958,0.022801
0.021912,0.55881,0.088115
0.026056,0.54862,0.75281
0.050737,0.79888,0.97227
0.098386,1.159,0.84699
0.17605,1.5749,0.61244
0.24606,1.7516,0.22605
0.17452,1.1221,0.026098
0.094983,0.56825,0.038001
0.079633,0.39532,0.42057
0.14501,0.50703,0.99644
0.28713,0.695,0.92566
0.53918,0.90782,0.73429
0.86275,1.0265,0.37358
0.75762,0.68301,0.038047
0.40665,0.26894,0.023224
0.27841,0.11475,0.2326
0.45379,0.099457,0.96169
0.89223,0.10672,0.88851
1.5884,0.11162,0.53376
1.5905,0.076498,0.030214
0.78877,0.030738,0.0030624
0.38421,0.012705,0.012774
0.25979,0.0071257,0.27749
0.44702,0.0087288,1.0204
0.88769,0.012286,0.92486
1.6091,0.016359,0.58531
1.7336,0.014566,0.040747
0.85113,0.0070468,0.0027609
0.39216,0.0033454,0.010122
0.23251,0.0020076,0.23868
0.35926,0.0026118,1.0415
0.66792,0.0039291,0.99956
1.1789,0.0057089,0.8003
1.7288,0.0073301,0.39789
1.2033,0.0057203,0.041607
0.32786,0.003263,0.098041
0.097912,0.0036051,1.015
0.047588,0.0055781,1.1808
0.034125,0.0087155,1.1872
0.034513,0.013626,1.1867
0.044547,0.021294,1.1826
0.067405,0.033238,1.1737
0.11246,0.051752,1.1571
0.19808,0.080186,1.1261
0.35591,0.12306,1.0681
0.63017,0.18515,0.95881
1.0417,0.26619,0.75223
1.3928,0.33582,0.38348
0.91773,0.27918,0.079617
0.24473,0.19463,0.24805
0.07411,0.25311,1.0482
0.033801,0.38772,1.0953
0.023911,0.59153,1.0486
0.023791,0.88806,0.96532
0.029097,1.2922,0.82692
0.038279,1.7569,0.59443
0.043481,1.9625,0.22825
0.02762,1.3111,0.031482
0.014017,0.70672,0.042997
0.011212,0.53379,0.41169
0.019436,0.73518,0.97109
0.037236,1.0846,0.89753
0.067973,1.5291,0.70739
0.10661,1.9016,0.38007
0.099019,1.5511,0.054586
0.054564,0.83128,0.023203
0.03427,0.49296,0.14603
0.048587,0.55931,0.88642
0.095595,0.824,0.95488
0.18277,1.1855,0.80015
0.31358,1.562,0.51285
0.36343,1.4997,0.10256
0.21019,0.81815,0.016251
0.11509,0.41949,0.056875
0.11902,0.35217,0.65373
0.2296,0.48633,0.99646
0.44924,0.67979,0.87057
0.80587,0.8835,0.59482
1.0187,0.85703,0.12322
0.58521,0.42289,0.010535
0.30004,0.17804,0.030075
0.25091,0.10814,0.46803
0.46445,0.12735,1.007
0.90742,0.16162,0.86665
1.5738,0.1907,0.48751
1.4471,0.13714,0.023519
0.69337,0.059532,0.0039413
0.32179,0.026463,0.024455
0.2462,0.018463,0.52638
0.42472,0.025183,1.0541
0.77128,0.036258,0.95368
1.297,0.050195,0.71789
1.6758,0.058992,0.28496
0.89768,0.040959,0.04698
0.213,0.027987,0.33728
0.065582,0.038578,1.1377
0.030379,0.05959,1.1757
0.022393,0.09239,1.1722
0.023656,0.14322,1.1606
0.031707,0.22147,1.1402
0.049226,0.34072,1.1064
0.083036,0.51908,1.0503
0.14496,0.77653,0.95607
0.24951,1.1196,0.79328
0.38894,1.4747,0.50279
0.40487,1.4121,0.10218
0.20706,0.78678,0.019966
0.10096,0.42853,0.082098
0.10301,0.41236,0.76443
0.1808,0.59489,0.98659
0.32306,0.8551,0.85917
0.53574,1.149,0.61165
0.67052,1.2361,0.19961
0.39239,0.74158,0.024781
0.17434,0.36913,0.062835
0.14314,0.29633,0.69058
0.224,0.38491,1.0247
0.36927,0.51001,0.94794
0.58695,0.65146,0.80271
0.82864,0.76324,0.57328
0.86169,0.72956,0.294
0.51329,0.51684,0.23825
0.24384,0.41617,0.76787
0.11478,0.40972,1.034
0.060202,0.39608,1.0715
0.043398,0.36285,1.0886
0.04289,0.31158,1.1032
0.053684,0.25113,1.1166
0.078828,0.19385,1.1252
0.12803,0.14891,1.1237
0.22015,0.11875,1.1055
0.3869,0.10104,1.0599
0.67069,0.092048,0.96708
1.0887,0.087727,0.7925
1.474,0.081754,0.49879
1.2082,0.063693,0.22413
0.42972,0.049738,0.56444
0.057139,0.060467,1.1393
0.0085687,0.081959,1.1771
0.0032147,0.11478,1.1726
0.0023321,0.16403,1.1617
0.0025475,0.23721,1.1445
0.0035626,0.34473,1.1183
0.0057589,0.49994,1.0784
0.010073,0.71759,1.018
0.018194,1.0076,0.9265
0.032569,1.3574,0.78865
0.054729,1.6857,0.58539
0.077497,1.7537,0.32254
0.078921,1.2893,0.15877
0.078632,0.76916,0.35778
0.13175,0.53421,0.92735
0.26045,0.31541,1.0212
0.51985,0.13735,0.99873
1.0104,0.053461,0.85563
1.7383,0.022745,0.46835
1.5237,0.0073712,0.018318
0.72017,0.0018807,0.0034648
0.32841,0.00058479,0.023634
0.24584,0.00032019,0.53592
0.41614,0.00037005,1.0638
0.74185,0.0004752,0.97358
1.2324,0.00061296,0.76754
1.6508,0.00072046,0.40046
1.1013,0.0005904,0.10589
0.28264,0.00046637,0.47977
0.04991,0.0006579,1.1607
0.013124,0.0010083,1.1945
0.0070506,0.0015578,1.1973
0.0063384,0.0024175,1.1976
0.0078976,0.0037623,1.1969
0.012037,0.0058657,1.1954
0.020746,0.0091544,1.1924
0.0385,0.014289,1.1865
0.07458,0.022281,1.175
0.1477,0.034642,1.1522
0.29415,0.053499,1.1062
0.57816,0.081358,1.0112
1.0824,0.11904,0.80886
1.7005,0.15244,0.36525
1.2034,0.1067,0.014932
0.46117,0.052655,0.012035
0.17368,0.032052,0.24311
0.16339,0.042599,1.0942
0.19944,0.065712,1.1243
0.25628,0.10113,1.0986
0.33326,0.15448,1.0593
0.41944,0.2333,1.0055
0.4814,0.34682,0.94148
0.4612,0.5062,0.8834
0.32488,0.72811,0.85117
0.15558,1.038,0.82043
0.064323,1.4458,0.71363
0.031675,1.859,0.4773
0.016143,1.836,0.14056
0.0060576,1.1245,0.033642
0.0026262,0.65509,0.097917
0.0025291,0.64875,0.7209
0.0042714,0.94206,0.94285
0.0075519,1.3626,0.80974
0.012567,1.8318,0.56487
0.016137,1.9713,0.19184
0.010867,1.2531,0.028284
0.0060304,0.67654,0.051135
0.0055576,0.54424,0.50585
0.010284,0.76218,0.97888
0.020111,1.1136,0.89404
0.037195,1.553,0.70982
0.059467,1.9216,0.40315
0.059748,1.6276,0.076136
0.035189,0.8788,0.032821
0.024331,0.51725,0.20661
0.038034,0.56788,0.94146
0.075659,0.75002,0.97955
0.1477,0.96347,0.88332
0.27432,1.1593,0.73598
0.46183,1.2269,0.52375
0.63008,0.98402,0.27746
0.64113,0.47703,0.18534
0.73308,0.16216,0.43865
1.1992,0.060265,0.65195
1.8038,0.024205,0.27112
1.2195,0.006525,0.0090138
0.59441,0.0017017,0.0061096
0.31615,0.0005702,0.064512
0.36676,0.00040646,0.80565
0.72081,0.00048431,0.97972
1.3657,0.00059794,0.72955
1.9414,0.00061466,0.1657
1.093,0.00031319,0.0038264
0.50337,0.00014232,0.0049857
0.2498,7.22E-05,0.08332
0.29363,7.49E-05,0.92854
0.53874,0.00011102,1.0401
0.96676,0.00016288,0.8917
1.5442,0.00022244,0.58718
1.5816,0.00022705,0.12785
0.57506,0.00013708,0.057349
0.13379,0.00012225,0.76644
0.046677,0.00018538,1.1774
0.025422,0.00028944,1.1914
0.021604,0.00045265,1.1933
0.025275,0.00070819,1.1926
0.036412,0.0011079,1.1896
0.059749,0.0017318,1.1832
0.106,0.0027024,1.1705
0.19622,0.0042012,1.1452
0.36868,0.0064802,1.0947
0.68363,0.0098257,0.99348
1.1946,0.014295,0.7886
1.7169,0.018265,0.38429
1.1549,0.014192,0.044499
0.30357,0.0084102,0.13119
0.089514,0.0099383,1.0604
0.041326,0.015428,1.1811
0.029076,0.024113,1.1854
0.029348,0.037691,1.1829
0.038051,0.058858,1.176
0.057944,0.091729,1.1631
