aNO,aNP,BrainSum
1.3673,0.90096,9.94E+09
1.4553,0.85148,9.94E+09
1.3307,0.86471,9.94E+09
1.2542,0.85432,9.94E+09
1.0767,0.83638,9.93E+09
1.008,0.8798,9.93E+09
1.0155,0.85138,9.93E+09
0.91258,0.88205,9.92E+09
0.90458,0.85471,9.92E+09
0.88002,0.84217,9.92E+09
0.9902,0.85628,9.91E+09
1.0138,0.88793,9.90E+09
1.0706,0.90263,9.90E+09
1.1042,0.87695,9.90E+09
1.1496,0.85363,9.91E+09
1.0569,0.87157,9.90E+09
1.0629,0.85167,9.90E+09
1.1096,0.87499,9.91E+09
1.1096,0.88626,9.91E+09
1.1707,0.88705,9.92E+09
1.1539,0.8651,9.91E+09
1.1805,0.85314,9.90E+09
1.0849,0.87235,9.89E+09
1.0812,0.84589,9.87E+09
1.0931,0.8797,9.86E+09
1.0799,0.9187,9.86E+09
1.0253,0.87225,9.85E+09
0.97153,0.86382,9.85E+09
0.95595,0.88548,9.85E+09
0.8695,0.88813,9.85E+09
0.92073,0.87529,9.85E+09
0.98894,0.86108,9.84E+09
0.98417,0.84628,9.84E+09
1.1268,0.88068,9.84E+09
1.1342,0.87421,9.83E+09
1.1776,0.90381,9.84E+09
1.3068,0.85687,9.83E+09
1.1832,0.86941,9.83E+09
1.2739,0.89675,9.83E+09
1.1543,0.86911,9.83E+09
1.1106,0.86186,9.84E+09
1.042,0.84805,9.84E+09
1.0139,0.83207,9.84E+09
0.93013,0.86667,9.84E+09
0.85307,0.83834,9.83E+09
0.85335,0.89244,9.83E+09
0.86514,0.9089,9.83E+09
0.82528,0.89028,9.84E+09
0.80451,0.90978,9.83E+09
0.83244,0.91272,9.84E+09
0.8782,0.89636,9.83E+09
0.88437,0.90106,9.82E+09
0.96508,0.88127,9.82E+09
0.91876,0.84501,9.82E+09
0.93939,0.87441,9.83E+09
0.91315,0.88852,9.83E+09
0.86121,0.87176,9.84E+09
0.93237,0.92154,9.83E+09
0.94655,0.91096,9.83E+09
1.0388,0.89518,9.82E+09
0.99581,0.86921,9.82E+09
0.94164,0.8701,9.82E+09
0.96732,0.91076,9.81E+09
0.87595,0.90998,9.81E+09
0.86907,0.87499,9.81E+09
0.91581,0.88254,9.81E+09
0.90809,0.89038,9.82E+09
0.80058,0.87039,9.81E+09
0.86304,0.88675,9.83E+09
0.87525,0.89312,9.86E+09
0.88199,0.8552,9.89E+09
0.89981,0.88362,9.88E+09
0.86627,0.85922,9.87E+09
0.91469,0.92135,9.87E+09
0.92494,0.87588,9.86E+09
0.97743,0.90224,9.87E+09
0.99722,0.87676,1.01E+10
1.0339,0.88244,1.03E+10
1.0047,0.89312,1.02E+10
0.96606,0.87676,1.01E+10
0.9328,0.91008,1.01E+10
0.95525,0.89352,1.00E+10
0.91876,0.89636,1.00E+10
0.88802,0.87088,9.97E+09
0.87778,0.8944,9.95E+09
0.86879,0.8697,9.95E+09
0.86823,0.86676,9.94E+09
0.82472,0.89998,9.95E+09
0.84311,0.87774,9.95E+09
0.90178,0.86196,9.95E+09
0.93434,0.88323,9.95E+09
0.97027,0.90635,9.95E+09
1.0983,0.94163,9.94E+09
1.184,0.89381,9.93E+09
1.4069,0.9138,9.93E+09
1.191,0.91057,9.92E+09
1.1739,0.92174,9.92E+09
1.079,0.86853,9.91E+09
1.0277,0.88724,9.89E+09
0.95202,0.88058,9.88E+09
0.90332,0.90439,9.87E+09
0.90837,0.92203,9.88E+09
0.89027,0.93546,9.86E+09
0.92199,0.88058,9.85E+09
0.91118,0.88352,9.85E+09
0.90094,0.88303,9.84E+09
0.99722,0.8699,9.83E+09
1.0253,0.85549,9.82E+09
1.0346,0.86461,9.82E+09
1.1216,0.83844,9.82E+09
1.0772,0.85863,9.83E+09
1.183,0.8896,9.83E+09
1.2616,0.84628,9.82E+09
1.2828,0.87186,9.82E+09
1.1836,0.86686,9.81E+09
1.168,0.84971,9.81E+09
1.1995,0.8502,9.82E+09
1.1339,0.84471,9.82E+09
1.1057,0.8551,9.82E+09
1.0607,0.85677,9.81E+09
1.0143,0.87304,9.80E+09
1.0104,0.85647,9.80E+09
0.86992,0.99768,9.80E+09
1.0271,0.94408,9.80E+09
0.98473,1.0198,9.81E+09
1.0242,1.1841,9.80E+09
1.057,1.0766,9.80E+09
1.0772,1.0692,9.79E+09
1.1301,1.0431,9.79E+09
1.0517,1.0231,9.80E+09
0.99624,0.98779,9.80E+09
1.0169,0.99033,9.79E+09
1.0223,0.98416,9.79E+09
1.0654,1.0244,9.79E+09
1.0535,1.0137,9.80E+09
1.0884,1.2505,9.79E+09
1.1209,1.5073,9.79E+09
0.9989,1.9238,9.80E+09
0.95118,2.6408,9.79E+09
0.92662,2.9278,9.79E+09
0.8869,2.991,9.80E+09
0.91553,2.9805,9.79E+09
0.87329,2.9022,9.78E+09
0.88395,2.4863,9.79E+09
0.86037,2.6578,9.78E+09
0.87357,2.642,9.78E+09
0.82978,2.2553,9.79E+09
0.81265,2.0847,9.79E+09
0.84002,1.8085,9.79E+09
0.87286,1.6548,9.79E+09
0.90094,1.5236,9.79E+09
0.88325,1.4702,9.80E+09
0.95455,1.3206,9.80E+09
1.0872,1.2042,9.80E+09
1.1103,1.2183,9.81E+09
1.1722,1.1438,9.81E+09
1.2558,1.1025,9.79E+09
1.2805,1.0288,9.79E+09
1.202,1.0195,9.79E+09
1.066,0.99592,9.79E+09
0.97055,0.98896,9.79E+09
0.93673,0.96388,9.80E+09
0.87567,0.94781,9.79E+09
0.87778,0.92595,9.79E+09
0.85209,0.92527,9.80E+09
0.85335,0.95682,9.82E+09
0.82949,0.93703,9.89E+09
0.8702,0.89812,9.92E+09
0.89981,0.92458,9.93E+09
0.96971,0.87901,9.92E+09
1.0564,0.90067,1.00E+10
1.0145,0.89126,1.02E+10
0.96227,0.91174,1.02E+10
1.0079,0.8941,1.01E+10
1.0793,0.88666,1.01E+10
0.94094,0.86196,1.01E+10
0.97771,0.86676,1.03E+10
0.92844,0.89087,1.03E+10
0.89588,0.85706,1.03E+10
0.93757,0.87401,1.02E+10
1.0228,0.8549,1.01E+10
0.91694,0.88283,1.01E+10
0.92634,0.86823,1.01E+10
0.88199,0.85069,1.00E+10
0.84381,0.8652,1.00E+10
0.86795,0.84834,9.98E+09
0.82823,0.87,9.96E+09
0.91006,0.84432,9.96E+09
0.90823,0.86216,9.94E+09
1.0513,0.80904,9.92E+09
1.1325,0.8454,9.91E+09
1.1666,0.84707,9.90E+09
1.1328,0.86284,9.89E+09
1.2313,0.84197,9.88E+09
1.2183,0.86618,9.87E+09
1.1408,0.85206,9.87E+09
0.95132,0.8795,9.87E+09
0.96999,0.855,9.86E+09
0.96971,0.8602,9.86E+09
0.83778,0.85637,9.85E+09
0.88311,0.84854,9.86E+09
0.82037,0.92193,9.85E+09
0.80928,0.89646,9.85E+09
0.84058,0.86725,9.85E+09
0.86374,0.88019,9.84E+09
0.95525,0.85353,9.84E+09
0.99792,0.85344,9.85E+09
1.1008,0.83629,9.84E+09
1.1014,0.87725,9.83E+09
1.1557,0.87245,9.83E+09
1.1943,0.8846,9.82E+09
1.2066,0.86618,9.82E+09
1.1216,0.84256,9.82E+09
1.1804,0.83776,9.81E+09
1.0619,0.82835,9.80E+09
0.95048,0.85461,9.81E+09
0.87371,0.8355,9.80E+09
0.81237,0.87147,9.81E+09
0.84185,0.86353,9.82E+09
0.8097,0.85246,9.81E+09
0.82374,0.85814,9.81E+09
0.91539,0.88088,9.81E+09
0.97448,0.82747,9.82E+09
1.1241,0.84413,9.81E+09
1.1165,0.87294,9.81E+09
1.1468,0.87029,9.81E+09
1.0625,0.87382,9.81E+09
1.1014,0.87,9.80E+09
1.1355,0.89675,9.79E+09
1.0931,0.86627,9.79E+09
0.95862,0.87205,9.77E+09
1.0308,0.87137,9.77E+09
1.0052,0.89979,9.77E+09
1.0607,0.87411,9.77E+09
0.93757,0.85834,9.78E+09
0.91118,0.85814,9.77E+09
0.87104,0.8505,9.77E+09
0.81813,0.87157,9.77E+09
0.84858,0.8456,9.76E+09
0.81883,0.84197,9.77E+09
0.82599,0.86451,9.78E+09
0.89139,0.84981,9.78E+09
0.83328,0.83707,9.79E+09
0.87609,0.86608,9.90E+09
0.93588,0.8554,1.01E+10
1.0289,0.85579,1.01E+10
1.0962,0.84403,1.01E+10
1.1157,0.87274,9.99E+09
1.1517,0.87117,9.94E+09
1.1772,0.91586,9.91E+09
1.1996,0.90547,9.89E+09
1.2848,0.89557,9.87E+09
1.2576,0.90508,9.86E+09
1.2525,0.87411,9.84E+09
1.0779,0.91282,9.85E+09
1.0274,0.86108,9.85E+09
0.99231,0.86725,9.85E+09
0.88872,0.86,9.88E+09
0.85476,0.91233,1.00E+10
0.87413,0.87068,1.01E+10
0.86781,0.86627,1.01E+10
0.85265,0.86902,1.00E+10
0.87104,0.83511,9.98E+09
0.89209,0.87255,9.94E+09
0.8775,0.86127,9.92E+09
0.94332,0.86245,9.89E+09
1.0361,0.86941,9.88E+09
0.94753,0.89773,9.87E+09
1.0972,0.93026,9.87E+09
1.1054,0.88734,9.86E+09
1.1287,0.85765,9.87E+09
1.2856,0.87901,9.89E+09
0.94416,0.86608,9.88E+09
1.0444,0.94575,9.92E+09
0.93827,0.89832,1.00E+10
0.88002,0.92713,1.01E+10
0.89715,0.89352,1.00E+10
