aNO,aNP,BrainSum
0.82963,0.82492,9.74E+09
0.83188,0.84638,9.73E+09
0.82879,0.88264,9.73E+09
0.85448,0.85569,9.72E+09
0.85209,0.87205,9.73E+09
0.83062,0.85099,9.73E+09
0.86992,0.8847,9.73E+09
0.91062,0.89851,9.74E+09
1.0167,0.88891,9.75E+09
0.93266,0.89881,9.76E+09
0.93518,0.88176,9.76E+09
1.011,0.88548,9.77E+09
0.98683,0.85206,9.76E+09
1.007,0.89734,9.75E+09
1.0386,0.93213,9.74E+09
1.0419,0.8847,9.75E+09
1.0684,0.89381,9.79E+09
0.99385,0.88499,9.82E+09
0.87665,0.88636,9.82E+09
0.86557,0.87098,1.01E+10
0.82739,0.90312,1.02E+10
0.79413,0.89783,1.02E+10
0.83525,0.85167,1.01E+10
0.8775,0.89832,1.01E+10
0.95932,0.8843,9.99E+09
1.0362,0.94114,9.94E+09
1.0027,0.92291,9.91E+09
1.0014,0.91576,9.89E+09
0.9822,0.93164,9.86E+09
0.99778,0.88372,9.84E+09
0.96802,0.90028,9.83E+09
0.93953,0.92723,9.81E+09
0.91104,0.91096,9.80E+09
0.89518,0.89969,9.80E+09
0.8236,0.87519,9.79E+09
0.89083,0.87382,9.78E+09
0.82234,0.91351,9.77E+09
0.80774,0.8798,9.77E+09
0.80718,0.95016,9.77E+09
0.80788,0.93663,9.77E+09
0.80283,0.90096,9.77E+09
0.7603,0.91841,9.77E+09
0.76269,0.87686,9.77E+09
0.80156,0.88695,9.78E+09
0.87258,0.90263,9.78E+09
0.92199,0.86735,9.77E+09
0.98487,0.85745,9.77E+09
0.9742,0.87088,9.78E+09
0.94388,0.87911,9.77E+09
0.96409,0.85412,9.76E+09
0.8949,0.85324,9.76E+09
0.88592,0.87352,9.76E+09
0.85728,0.85883,9.76E+09
0.82374,0.87764,9.75E+09
0.80844,0.86294,9.74E+09
0.83132,0.87352,9.74E+09
0.81462,0.91988,9.73E+09
0.82613,0.87108,9.74E+09
0.85939,0.87735,9.73E+09
0.9036,0.92556,9.73E+09
0.97167,0.87098,9.72E+09
0.97995,0.89626,9.72E+09
0.96395,0.88254,9.72E+09
0.93995,0.89832,9.72E+09
0.88858,0.98436,9.72E+09
0.92536,0.96123,9.71E+09
0.86079,0.95829,9.71E+09
0.90458,1.0007,9.71E+09
0.90641,1.002,9.71E+09
0.90571,1.0038,9.70E+09
0.91581,0.9579,9.71E+09
0.86332,0.97152,9.71E+09
0.84493,0.97054,9.70E+09
0.88493,0.95084,9.70E+09
0.85279,0.96123,9.71E+09
0.82949,0.96123,9.71E+09
0.85237,0.9775,9.70E+09
0.81827,0.99484,9.70E+09
0.83399,0.98044,9.70E+09
0.79413,1.066,9.71E+09
0.85672,1.1057,9.72E+09
0.84185,1.1051,9.72E+09
0.89967,1.0598,9.72E+09
0.9415,1.0503,9.72E+09
0.95245,1.018,9.72E+09
1.0282,1.0465,9.73E+09
1.0211,1.1693,9.73E+09
0.94094,1.1754,9.73E+09
0.90164,1.188,9.72E+09
0.86093,1.3763,9.71E+09
0.85771,1.3286,9.71E+09
0.84578,1.1745,9.72E+09
0.81209,1.1618,9.72E+09
0.79665,1.1057,9.72E+09
0.81855,1.1239,9.73E+09
0.82781,1.1854,9.73E+09
0.82149,1.0926,9.74E+09
0.82893,1.1014,9.74E+09
0.8302,1.0911,9.73E+09
0.79539,1.0937,9.73E+09
0.81434,0.98916,9.73E+09
0.82514,1.0121,9.73E+09
0.84802,0.97152,9.72E+09
0.86964,0.94467,9.75E+09
0.92044,0.94085,9.75E+09
1.0111,0.9431,9.74E+09
1.0449,0.90557,9.73E+09
1.0856,0.91174,9.72E+09
1.1596,0.91184,9.73E+09
1.1098,0.91253,9.72E+09
1.0242,0.91664,9.73E+09
0.96241,0.86941,9.72E+09
0.90178,0.8797,9.71E+09
0.87034,0.8892,9.71E+09
0.84199,0.89224,9.71E+09
0.81139,0.89508,9.70E+09
0.8549,0.87098,9.70E+09
0.82879,0.92409,9.69E+09
0.88844,0.91811,9.69E+09
0.91301,0.92135,9.70E+09
0.89574,0.90116,9.70E+09
0.99203,0.89028,9.71E+09
1.0052,0.86402,9.71E+09
0.97645,0.8895,9.71E+09
1.1074,0.88646,9.71E+09
1.0922,0.88244,9.71E+09
1.1153,0.8649,9.71E+09
1.1585,0.89342,9.72E+09
1.1675,0.87892,9.72E+09
1.1327,0.87754,9.71E+09
1.0755,0.87098,9.71E+09
0.98304,0.90851,9.71E+09
0.93785,0.83354,9.70E+09
0.8942,0.89401,9.70E+09
0.87357,0.92135,9.69E+09
0.83258,0.89822,9.70E+09
0.89841,0.8504,9.70E+09
0.96059,0.86333,9.71E+09
0.9895,0.87568,9.70E+09
1.0517,0.8993,9.71E+09
1.1407,0.88666,9.71E+09
1.3293,0.86392,9.71E+09
1.2479,0.91341,9.70E+09
1.1616,0.8994,9.70E+09
0.99539,0.87715,9.70E+09
0.97195,0.86333,9.70E+09
0.93013,0.85559,9.69E+09
0.93757,0.84246,9.69E+09
0.86571,0.84471,9.69E+09
0.90767,0.89548,9.71E+09
0.86893,0.87745,9.71E+09
0.89434,0.86637,9.70E+09
0.9196,0.8502,9.70E+09
0.86599,0.89861,9.70E+09
0.8862,0.86235,9.70E+09
0.87553,0.85716,9.71E+09
0.89939,0.8699,9.70E+09
0.8476,0.84481,9.76E+09
0.88634,0.85981,9.82E+09
0.84241,0.87519,9.79E+09
0.88437,0.86324,9.76E+09
0.9735,0.8797,9.74E+09
0.98852,0.88156,9.72E+09
1.0945,0.86764,9.73E+09
1.1826,0.8454,9.72E+09
1.1925,0.87901,9.72E+09
1.1452,0.87637,9.72E+09
1.3176,0.86421,9.73E+09
1.3033,0.9039,9.72E+09
1.3415,0.90733,9.72E+09
1.4205,0.90802,9.72E+09
1.424,0.87049,9.71E+09
1.2375,0.85216,9.72E+09
1.1099,0.87411,9.71E+09
1.0236,0.87607,9.71E+09
0.96606,0.91703,9.71E+09
0.93378,0.87,9.72E+09
0.95188,0.87813,9.72E+09
0.9415,0.86902,9.72E+09
0.89322,0.85442,9.72E+09
0.92437,0.86451,9.73E+09
1.0501,0.87294,9.79E+09
1.0559,0.87137,1.00E+10
1.1081,0.88382,1.02E+10
1.0925,0.87568,1.02E+10
1.1774,0.89332,1.01E+10
1.2362,0.8991,1.00E+10
1.3043,0.83227,9.99E+09
1.2469,0.86568,9.94E+09
1.1147,0.87098,9.90E+09
1.0077,0.86823,9.88E+09
0.90809,0.82129,9.87E+09
0.87665,0.84795,9.85E+09
0.83721,0.85883,9.84E+09
0.88536,0.83217,9.85E+09
0.889,0.85442,9.84E+09
0.94304,0.84285,9.83E+09
0.89939,0.83364,9.80E+09
0.91511,0.87656,9.79E+09
0.86458,0.90861,9.79E+09
0.91146,0.84521,9.77E+09
0.84634,0.86441,9.77E+09
0.86402,0.86667,9.77E+09
0.88606,0.86764,9.76E+09
0.9568,0.8554,9.75E+09
0.95862,0.8358,9.75E+09
1.0275,0.87264,9.74E+09
1.066,0.90841,9.74E+09
1.0826,0.8553,9.73E+09
1.01,0.85148,9.73E+09
0.96788,0.87186,9.73E+09
0.96311,0.87313,9.73E+09
0.9015,0.8697,9.73E+09
0.89153,0.87264,9.74E+09
0.86234,0.88176,9.74E+09
0.86206,0.87842,9.76E+09
0.83174,0.83795,9.75E+09
0.85588,0.83286,9.76E+09
0.8629,0.84785,9.75E+09
0.8956,0.87215,9.75E+09
0.98866,0.85736,9.74E+09
0.98346,0.85912,9.75E+09
1.0381,0.85706,9.74E+09
1.0473,0.84168,9.74E+09
1.0122,0.86363,9.73E+09
1.0006,0.87078,9.73E+09
0.88985,0.83364,9.73E+09
0.88479,0.84971,9.74E+09
0.92732,0.87333,9.73E+09
0.92957,0.85677,9.73E+09
0.92999,0.84648,9.73E+09
0.96395,0.87842,9.72E+09
0.90837,0.86843,9.72E+09
0.93462,0.90263,9.71E+09
0.97322,0.88724,9.71E+09
1.0593,0.87627,9.71E+09
0.99455,0.85637,9.71E+09
1.1174,0.85883,9.71E+09
1.0824,0.86529,9.73E+09
1.1015,0.86549,9.72E+09
1.1523,0.87627,9.73E+09
1.2915,0.85843,9.72E+09
1.1489,0.85197,9.73E+09
1.2138,0.87793,9.73E+09
1.2242,0.84403,9.74E+09
1.1042,0.85637,9.75E+09
1.0501,0.85667,9.80E+09
0.99385,0.87519,9.84E+09
0.98108,0.85902,1.00E+10
0.85771,0.88489,1.02E+10
0.86374,0.86314,1.02E+10
0.92592,0.88205,1.02E+10
0.88536,0.90283,1.01E+10
0.87932,0.89244,1.01E+10
0.88718,0.91409,1.00E+10
0.8869,0.8893,9.97E+09
0.86529,0.88019,9.96E+09
0.90079,0.90018,9.94E+09
0.90767,0.8844,9.91E+09
0.93855,0.88479,9.91E+09
0.96494,0.88244,9.91E+09
1.0139,0.87068,9.89E+09
0.95076,0.84844,9.88E+09
0.97097,0.85873,9.88E+09
1.0016,0.88274,9.87E+09
1.0042,0.87852,9.86E+09
1.001,0.87882,9.85E+09
1.0646,0.82541,9.85E+09
1.0854,0.85481,9.85E+09
1.1336,0.87539,9.84E+09
1.1634,0.88136,9.84E+09
1.1363,0.89361,9.83E+09
1.1181,0.85716,9.82E+09
1.1332,0.8407,9.82E+09
1.0447,0.85775,9.80E+09
0.98248,0.86686,9.81E+09
0.94781,0.87274,9.80E+09
0.90164,0.89871,9.80E+09
0.90262,0.88891,9.79E+09
0.81995,0.86147,9.79E+09
0.87862,0.87921,9.79E+09
0.88886,0.87127,9.78E+09
0.89715,0.88734,9.77E+09
0.92662,0.91076,9.77E+09
0.86992,0.91125,9.76E+09
0.96999,0.87695,9.76E+09
0.9575,0.91223,9.75E+09
1.1082,0.85647,9.75E+09
1.0434,0.89116,9.75E+09
1.0868,0.88382,9.74E+09
1.0622,0.87539,9.74E+09
1.0193,0.85059,9.74E+09
0.97757,0.87098,9.75E+09
0.95357,0.8843,9.74E+09
0.86809,0.9043,9.74E+09
0.85462,0.87421,9.73E+09
0.90557,0.84765,9.73E+09
0.80311,1.0971,9.74E+09
0.87834,1.0011,9.74E+09
0.9422,0.99867,9.74E+09
0.89672,0.96691,9.73E+09
0.87806,0.92439,9.74E+09
0.88157,0.89704,9.74E+09
0.90823,0.91988,9.75E+09
0.84213,0.90596,9.75E+09
0.83974,0.89675,9.75E+09
0.86444,0.89391,9.74E+09
0.85083,0.87245,9.74E+09
0.83707,0.88764,9.73E+09
0.88479,0.90861,9.74E+09
0.86711,0.9042,9.74E+09
0.8629,0.87176,9.74E+09
0.91006,0.88519,9.73E+09
0.93097,0.90606,9.73E+09
1.0108,0.89597,9.74E+09
1.0337,0.89518,9.73E+09
1.0149,0.86902,9.73E+09
0.91904,0.89704,9.73E+09
0.88943,0.89616,9.74E+09
0.87988,0.91703,9.73E+09
0.91876,0.89998,9.73E+09
0.93251,0.91635,9.73E+09
0.89686,0.89283,9.73E+09
0.94908,0.86853,9.73E+09
0.92915,0.88577,9.74E+09
0.89167,0.89518,9.74E+09
0.90809,0.90478,9.73E+09
0.90922,0.91517,9.73E+09
0.88788,0.93967,9.73E+09
0.86051,0.953,9.77E+09
0.88129,0.94349,9.78E+09
0.86374,0.91811,9.78E+09
0.9262,0.92987,9.77E+09
0.92774,0.93085,9.76E+09
0.87651,0.89107,9.75E+09
0.84774,0.89224,9.76E+09
0.82963,0.95192,9.77E+09
0.85195,0.91135,9.76E+09
0.85434,0.84148,9.75E+09
0.89322,0.9043,9.73E+09
0.92143,0.8992,9.73E+09
0.9655,0.86657,9.74E+09
1.0018,0.89234,9.72E+09
1.105,0.8944,9.72E+09
1.0953,0.84903,9.72E+09
1.0928,0.88156,9.71E+09
0.96564,0.89871,9.71E+09
1.0091,0.86451,9.70E+09
0.96101,0.8845,9.71E+09
0.93434,0.87039,9.71E+09
1.01,0.87627,9.71E+09
1.0594,0.91204,9.71E+09
1.0014,0.91997,9.71E+09
0.97981,0.94144,9.72E+09
0.93743,0.92615,9.72E+09
0.98922,0.88999,9.73E+09
1.0016,0.93438,9.73E+09
1.0113,0.90998,9.74E+09
1.0061,0.88038,9.73E+09
1.0468,0.8994,9.74E+09
1.0816,0.89293,9.73E+09
1.1338,0.8847,9.75E+09
1.1836,0.90302,9.74E+09
1.1425,0.87068,9.89E+09
1.137,0.86421,1.01E+10
1.0783,0.86725,1.00E+10
1.02,0.89587,9.99E+09
1.0671,0.86657,9.94E+09
1.0778,0.86363,9.91E+09
1.1895,0.83991,9.89E+09
1.1108,0.88088,9.87E+09
1.2449,0.83491,9.86E+09
1.2063,0.90096,9.85E+09
1.2298,0.87774,9.83E+09
1.1186,0.84815,9.82E+09
1.0099,0.86039,9.82E+09
0.94206,0.85971,9.82E+09
0.9262,0.88225,9.81E+09
0.9676,0.93957,9.80E+09
1.0291,0.92811,9.80E+09
1.0428,0.87588,9.80E+09
1.0659,0.90145,9.79E+09
1.0244,0.91419,9.78E+09
1.0176,0.9041,9.77E+09
0.98641,0.90449,9.77E+09
0.96395,0.89489,9.76E+09
0.9015,0.89175,9.76E+09
0.89378,0.88362,9.77E+09
0.87609,0.8795,9.76E+09
0.84409,0.89959,9.76E+09
0.92802,0.96946,9.76E+09
0.97181,0.91272,9.75E+09
1.0242,0.92536,9.75E+09
1.0435,0.93801,9.75E+09
1.0653,0.93193,9.75E+09
1.0994,0.91086,9.75E+09
1.1165,0.90724,9.74E+09
1.107,0.88568,9.74E+09
1.1642,0.90214,9.74E+09
1.1221,0.92723,9.73E+09
1.0623,0.93477,9.72E+09
1.0167,0.90978,9.73E+09
0.9749,0.9139,9.73E+09
0.9262,0.89704,9.73E+09
0.86107,0.92046,9.72E+09
0.88115,0.91811,9.72E+09
0.85223,0.88332,9.72E+09
0.86192,0.88832,9.72E+09
0.85434,0.87539,9.72E+09
0.90444,0.92448,9.72E+09
0.97785,0.87441,9.73E+09
0.9575,0.93017,9.72E+09
0.99708,0.8992,9.73E+09
1.0414,0.90302,9.74E+09
0.94543,0.91262,9.73E+09
0.97925,0.88127,9.73E+09
0.9349,0.88989,9.73E+09
1.019,0.87911,9.73E+09
1.0011,0.87372,9.72E+09
0.98108,0.87646,9.71E+09
0.91413,0.86911,9.71E+09
0.85771,0.88911,9.71E+09
0.86234,0.89969,9.70E+09
0.84957,0.88009,9.70E+09
0.83974,0.92419,9.71E+09
0.82416,0.89303,9.71E+09
0.85981,0.91076,9.70E+09
0.93546,0.8991,9.71E+09
0.9902,0.87666,9.71E+09
1.0215,0.85167,9.71E+09
1.047,0.87431,9.71E+09
1.0228,0.87078,9.71E+09
1.0108,0.88577,9.72E+09
0.91272,0.8893,9.72E+09
0.91287,0.90645,9.73E+09
0.86865,0.90625,9.72E+09
0.87932,0.91772,9.72E+09
0.88802,0.9236,9.74E+09
0.84395,0.8896,9.75E+09
0.83749,0.87999,9.75E+09
0.84423,0.90478,9.75E+09
0.85785,0.88019,9.74E+09
0.90613,0.8699,9.74E+09
0.91932,0.89028,9.73E+09
0.97911,0.90822,9.72E+09
1.0341,0.88205,9.72E+09
1.0354,0.89998,9.72E+09
0.99904,0.86294,9.74E+09
0.93448,0.90175,9.85E+09
0.91357,0.89263,1.02E+10
0.93883,0.89891,1.04E+10
0.89897,0.85255,1.03E+10
0.93827,0.92693,1.02E+10
0.90486,0.94447,1.01E+10
0.88999,0.94163,1.01E+10
0.90318,0.90596,1.00E+10
0.87413,0.96564,9.98E+09
0.86921,0.92429,9.94E+09
0.88971,0.93399,9.91E+09
0.8389,0.91968,9.90E+09
0.91104,0.90047,9.87E+09
0.92297,0.90459,9.85E+09
0.94346,0.90478,9.84E+09
0.94332,0.90753,9.83E+09
0.91329,0.93026,9.82E+09
0.89392,0.93967,9.81E+09
0.90248,0.95496,9.81E+09
0.91525,0.95241,9.80E+09
0.87806,0.93869,9.79E+09
0.84185,0.9385,9.78E+09
0.87764,0.95466,9.77E+09
0.87132,0.89312,9.78E+09
0.85125,0.89518,9.77E+09
0.85251,0.88969,9.77E+09
0.85111,0.91165,9.76E+09
0.85644,0.88352,9.76E+09
0.87469,0.89214,9.76E+09
0.84872,0.89528,9.76E+09
0.89813,0.88842,9.75E+09
0.94318,0.91115,9.75E+09
0.96016,0.88597,9.75E+09
1.0337,0.88117,9.76E+09
1.1033,0.90782,9.75E+09
1.0746,0.90185,9.74E+09
1.2148,0.90724,9.74E+09
1.2675,0.8941,9.74E+09
1.1377,0.87499,9.75E+09
1.1162,0.89881,9.75E+09
1.0221,0.89557,9.75E+09
0.93083,0.91312,9.74E+09
0.90065,0.89048,9.74E+09
0.96438,0.89195,9.74E+09
1.0277,0.9235,9.74E+09
1.039,0.91517,9.73E+09
1.0038,0.90292,9.73E+09
0.94234,0.90557,9.74E+09
0.91483,0.87745,9.73E+09
0.8949,0.89469,9.73E+09
0.89462,0.91576,9.72E+09
0.94641,0.90234,9.73E+09
0.95273,0.93693,9.73E+09
1.1214,0.89499,9.73E+09
1.0033,0.92213,9.73E+09
0.9655,0.93418,9.72E+09
0.97729,0.89675,9.72E+09
0.99778,0.92586,9.72E+09
1.0542,0.90616,9.73E+09
1.0468,0.89401,9.72E+09
0.95652,0.99367,9.72E+09
0.95708,1.1065,9.71E+09
0.97266,1.0575,9.72E+09
1.0893,0.99396,9.72E+09
1.025,1.0642,9.72E+09
0.95497,1.0478,9.73E+09
0.93139,1.0199,9.74E+09
0.89546,1.0463,9.74E+09
0.89799,1.0465,9.74E+09
0.89771,0.99641,9.73E+09
0.89883,1.0258,9.74E+09
0.9822,1.0228,9.75E+09
1.0076,1.2345,9.76E+09
1.0776,1.361,9.84E+09
1.0963,1.3157,9.86E+09
1.0768,1.3992,9.84E+09
0.94711,1.7175,9.83E+09
0.99834,1.8474,9.82E+09
0.91497,2.0599,9.81E+09
0.93939,2.242,9.80E+09
0.90571,2.1137,9.80E+09
0.96774,2.2991,9.81E+09
0.88564,2.2109,9.81E+09
0.84746,1.996,9.80E+09
0.88367,1.8216,9.80E+09
0.88606,1.7619,9.80E+09
0.89518,1.4889,9.80E+09
0.90023,1.4436,9.79E+09
0.91216,1.3412,9.78E+09
0.89223,1.2409,9.77E+09
0.87946,1.1764,9.76E+09
0.89757,1.1255,9.76E+09
0.87862,1.1174,9.75E+09
0.85686,1.0643,9.74E+09
0.83679,1.0461,9.74E+09
0.89855,1.0436,9.73E+09
0.92016,0.96917,9.73E+09
0.94164,0.98789,9.74E+09
1.0169,1.0151,9.73E+09
1.1359,0.96682,9.73E+09
1.1745,0.9773,9.73E+09
1.2581,0.98877,9.72E+09
1.227,0.9921,9.72E+09
1.2375,0.93448,9.72E+09
1.1896,0.95075,9.72E+09
1.236,0.94251,9.72E+09
1.1686,0.94104,9.73E+09
1.0282,0.92997,9.74E+09
0.9822,0.9235,9.74E+09
1.024,0.9432,9.74E+09
0.93659,0.92615,9.74E+09
0.96269,0.96201,9.73E+09
0.95722,0.93467,9.74E+09
0.99666,0.92781,9.74E+09
1.0451,0.9091,9.74E+09
1.1647,0.90273,9.95E+09
1.1353,0.90155,1.01E+10
1.1613,0.92723,1.01E+10
1.1164,0.91204,1.01E+10
1.1394,0.92252,1.00E+10
1.0296,0.93095,9.99E+09
1.0887,0.8994,9.96E+09
1.0619,0.89734,9.92E+09
1.0972,0.92458,9.88E+09
0.97743,0.9385,9.86E+09
0.90178,0.90371,9.84E+09
0.92578,0.89822,9.83E+09
0.89701,0.91135,9.82E+09
0.89153,0.92017,9.81E+09
0.88451,0.89734,9.82E+09
0.86107,0.92115,9.82E+09
0.87637,0.91488,9.81E+09
0.84521,0.91792,9.80E+09
0.89322,0.90537,9.79E+09
0.90444,0.92899,9.79E+09
0.99904,0.93918,9.78E+09
0.91315,0.95574,9.77E+09
1.0306,0.95349,9.76E+09
1.0643,0.96319,9.76E+09
1.0882,0.95996,9.76E+09
1.0594,0.958,9.75E+09
1.177,0.93948,9.75E+09
1.2117,0.92125,9.74E+09
1.064,0.9677,9.75E+09
0.94122,0.9674,9.74E+09
0.89939,1.022,9.74E+09
0.93925,0.9675,9.73E+09
0.86276,0.93752,9.73E+09
0.86739,0.94202,9.74E+09
0.86739,0.93369,9.73E+09
0.85995,0.98024,9.73E+09
0.83399,0.96672,9.73E+09
0.82767,0.96985,9.73E+09
0.87567,0.95574,9.72E+09
0.82346,0.97338,9.72E+09
0.84325,0.95388,9.72E+09
0.85139,0.91939,9.71E+09
0.86164,0.94418,9.71E+09
0.81686,0.94232,9.71E+09
0.82037,0.93703,9.72E+09
0.83244,0.92468,9.72E+09
0.86557,0.94976,9.72E+09
0.82725,0.96574,9.72E+09
0.89911,0.94859,9.72E+09
0.92213,0.92615,9.70E+09
0.88536,0.98984,9.70E+09
0.96227,0.96182,9.71E+09
1.0205,0.99337,9.70E+09
1.0487,0.99112,9.69E+09
1.0632,0.98034,9.70E+09
1.0751,0.98396,9.70E+09
1.0927,0.96613,9.69E+09
1.0824,0.95408,9.70E+09
1.0376,0.99259,9.71E+09
0.96213,0.98789,9.70E+09
0.91034,0.97671,9.70E+09
0.881,0.9385,9.69E+09
0.86851,0.97906,9.69E+09
0.8615,0.94986,9.69E+09
0.88115,0.93516,9.69E+09
0.85139,0.95114,9.71E+09
0.83876,1.0064,9.72E+09
0.84213,0.99847,9.72E+09
0.83062,0.97142,9.72E+09
0.88999,0.96006,9.71E+09
0.9363,0.96446,9.70E+09
0.97645,0.94624,9.69E+09
1.0411,0.94026,9.70E+09
1.0573,0.93693,9.69E+09
1.1255,0.94898,9.69E+09
1.1179,0.93536,9.70E+09
0.98234,0.93164,9.69E+09
0.92185,0.95506,9.70E+09
0.90304,0.96054,9.69E+09
0.87736,0.97015,9.69E+09
0.88381,0.95966,9.70E+09
0.87343,0.93605,9.69E+09
0.84072,0.96564,9.71E+09
0.85925,0.93967,9.71E+09
0.8483,0.95329,9.74E+09
0.80521,0.94937,9.82E+09
0.85995,0.99053,9.82E+09
0.8142,1.0343,9.85E+09
0.8622,1.0131,1.01E+10
0.93237,1.022,1.02E+10
0.89743,1.0028,1.01E+10
0.91637,0.94722,1.01E+10
0.91357,1.0306,1.01E+10
0.81672,1.0125,1.02E+10
0.88844,1.0064,1.02E+10
0.88592,0.97662,1.01E+10
0.91637,0.99788,1.01E+10
0.95918,1.0167,1.00E+10
1.0609,1.0234,9.97E+09
1.0351,0.99112,9.94E+09
1.0984,0.98249,9.92E+09
1.0744,0.95388,9.88E+09
1.0536,0.95555,9.87E+09
0.93406,0.95751,9.87E+09
0.91511,0.95839,9.86E+09
0.84957,0.95809,9.85E+09
0.81111,0.94242,9.82E+09
0.84957,0.9089,9.81E+09
0.88872,0.9674,9.80E+09
0.87272,0.94114,9.79E+09
0.88199,0.97181,9.77E+09
0.96802,0.93654,9.77E+09
1.0221,0.95604,9.77E+09
1.0619,0.99808,9.76E+09
