X,Y,Z
7.4148,1.6082,32.2
6.0548,1.0222,30.332
4.9109,0.80342,28.493
4.0012,0.82356,26.741
3.3154,0.98909,25.095
2.8286,1.2412,23.558
2.512,1.5486,22.128
2.3386,1.9001,20.802
2.2865,2.2978,19.577
2.3402,2.7532,18.455
2.4911,3.2838,17.44
2.7369,3.9125,16.543
3.0811,4.6655,15.777
3.5329,5.5724,15.168
4.1061,6.6637,14.754
4.8179,7.9668,14.591
5.6866,9.4979,14.759
6.7275,11.247,15.364
7.945,13.154,16.541
9.3205,15.076,18.429
10.794,16.753,21.129
12.249,17.804,24.612
13.501,17.801,28.615
14.321,16.445,32.586
14.506,13.789,35.803
13.956,10.321,37.67
12.738,6.7736,38.003
11.059,3.7722,37.059
9.1824,1.6156,35.315
7.3419,0.28954,33.218
5.694,-0.3876,31.063
4.3145,-0.63144,28.995
3.2183,-0.62158,27.067
2.3834,-0.48306,25.284
1.7708,-0.29247,23.634
1.3376,-0.090984,22.102
1.0442,0.10336,20.677
0.85737,0.28646,19.348
0.75139,0.46207,18.107
0.70758,0.63813,16.949
0.71342,0.82481,15.868
0.76161,1.0338,14.861
0.84917,1.2781,13.925
0.97692,1.5728,13.059
1.1491,1.9357,12.261
1.3734,2.3882,11.536
1.6609,2.9566,10.89
2.027,3.6732,10.335
2.4915,4.5776,9.8938
3.0794,5.7166,9.6017
3.8212,7.1425,9.518
4.7525,8.9066,9.735
5.9106,11.044,10.392
7.3277,13.541,11.691
9.0149,16.277,13.889
10.934,18.943,17.259
12.957,20.962,21.952
14.827,21.524,27.749
16.165,19.889,33.823
16.572,15.945,38.831
15.826,10.557,41.569
14.027,5.1693,41.726
11.552,0.93103,39.956
8.8625,-1.787,37.254
6.3224,-3.2158,34.384
4.1344,-3.7921,31.723
2.3623,-3.9066,29.377
0.98282,-3.8292,27.329
-0.068747,-3.7216,25.527
-0.86946,-3.672,23.925
-1.4934,-3.725,22.489
-2.005,-3.9021,21.2
-2.4581,-4.2146,20.052
-2.8965,-4.6711,19.047
-3.3564,-5.2813,18.194
-3.8684,-6.0569,17.516
-4.4589,-7.0103,17.043
-5.1512,-8.1511,16.825
-5.9643,-9.4779,16.924
-6.9105,-10.967,17.425
-7.9897,-12.553,18.423
-9.1807,-14.11,20.01
-10.43,-15.433,22.237
-11.642,-16.243,25.054
-12.677,-16.244,28.249
-13.37,-15.237,31.424
-13.57,-13.251,34.073
-13.202,-10.6,35.758
-12.299,-7.7744,36.291
-10.998,-5.2439,35.779
-9.4882,-3.29,34.518
-7.9546,-1.9777,32.839
-6.5366,-1.2241,30.995
-5.3165,-0.88864,29.143
-4.3267,-0.83455,27.361
-3.5658,-0.95591,25.68
-3.0131,-1.1824,24.108
-2.6408,-1.474,22.643
-2.4209,-1.8132,21.283
-2.3299,-2.1979,20.025
-2.3502,-2.6366,18.869
-2.4706,-3.1452,17.82
-2.687,-3.7447,16.885
-3.001,-4.4603,16.078
-3.42,-5.3206,15.42
-3.9562,-6.3556,14.945
-4.6256,-7.5938,14.704
-5.4463,-9.0552,14.769
-6.4346,-10.738,15.239
-7.5986,-12.6,16.238
-8.9269,-14.523,17.907
-10.373,-16.283,20.361
-11.838,-17.536,23.616
-13.157,-17.859,27.485
-14.112,-16.899,31.496
-14.486,-14.596,34.962
-14.145,-11.32,37.228
-13.108,-7.7554,37.979
-11.546,-4.5819,37.361
-9.7145,-2.1939,35.809
-7.8588,-0.65449,33.792
-6.1578,0.18259,31.646
-4.7082,0.5297,29.555
-3.54,0.57777,27.592
-2.6401,0.46593,25.773
-1.9734,0.28262,24.09
-1.4979,0.077364,22.529
-1.1731,-0.12652,21.076
-0.96424,-0.32197,19.723
-0.84404,-0.51133,18.46
-0.79231,-0.70211,17.281
-0.79537,-0.90466,16.182
-0.84507,-1.1312,15.159
-0.93799,-1.3957,14.208
-1.0747,-1.714,13.329
-1.2597,-2.1052,12.524
-1.5008,-2.5919,11.794
