X,Y,Z
3.6111,3.1932,0.13723
3.3951,3.4539,0.13131
3.1636,3.7039,0.12448
2.9173,3.9419,0.11693
2.6569,4.1671,0.1089
2.3834,4.3783,0.1006
2.0977,4.5745,0.092265
1.8007,4.755,0.084111
1.4934,4.9187,0.076312
1.1769,5.0648,0.06901
0.85229,5.1926,0.062304
0.52063,5.3014,0.056251
0.18313,5.3906,0.050868
-0.15901,5.4594,0.046144
-0.50456,5.5076,0.042041
-0.85223,5.5345,0.038503
-1.2007,5.5399,0.03547
-1.5487,5.5234,0.032874
-1.8949,5.4849,0.030652
-2.2378,5.4242,0.028747
-2.5761,5.3414,0.027106
-2.9085,5.2364,0.025686
-3.2336,5.1094,0.02445
-3.5501,4.9606,0.023369
-3.8564,4.7903,0.022419
-4.1515,4.599,0.02158
-4.4339,4.3871,0.020837
-4.7025,4.1552,0.020179
-4.9558,3.9039,0.019594
-5.1929,3.634,0.019076
-5.4126,3.3464,0.018617
-5.6137,3.0419,0.018212
-5.7953,2.7215,0.017858
-5.9564,2.3863,0.01755
-6.096,2.0374,0.017285
-6.2135,1.676,0.017061
-6.3081,1.3033,0.016876
-6.379,0.92075,0.016728
-6.4257,0.52966,0.016617
-6.4478,0.13145,0.016541
-6.4448,-0.27238,0.016499
-6.4164,-0.68033,0.016492
-6.3624,-1.0908,0.01652
-6.2827,-1.5023,0.016583
-6.1774,-1.9132,0.016681
-6.0464,-2.3219,0.016816
-5.89,-2.7266,0.016989
-5.7085,-3.1259,0.017202
-5.5022,-3.518,0.017457
-5.2718,-3.9013,0.017757
-5.0176,-4.2742,0.018104
-4.7406,-4.6351,0.018503
-4.4414,-4.9825,0.018957
-4.121,-5.3148,0.019472
-3.7804,-5.6305,0.020053
-3.4206,-5.9281,0.020708
-3.0429,-6.2063,0.021445
-2.6484,-6.4637,0.022273
-2.2386,-6.6991,0.023203
-1.8148,-6.9113,0.024249
-1.3785,-7.099,0.025427
-0.9314,-7.2614,0.026754
-0.47501,-7.3974,0.028253
-0.011036,-7.5062,0.02995
0.45877,-7.5869,0.031877
0.93263,-7.6391,0.034072
1.4087,-7.6619,0.036581
1.8852,-7.6552,0.03946
2.3601,-7.6184,0.042778
2.8316,-7.5514,0.046618
3.2977,-7.454,0.051084
3.7565,-7.3263,0.056305
4.206,-7.1685,0.06244
4.6444,-6.9807,0.069689
5.0696,-6.7634,0.078301
5.4798,-6.5171,0.088591
5.873,-6.2423,0.10095
6.2473,-5.94,0.11589
6.6009,-5.611,0.13403
6.9319,-5.2562,0.15618
7.2385,-4.8769,0.18332
7.5187,-4.4744,0.21673
7.7708,-4.05,0.25796
7.9929,-3.6054,0.30896
8.1831,-3.1421,0.37205
8.3394,-2.6621,0.45005
8.4598,-2.1674,0.54621
8.5423,-1.6599,0.66417
8.5846,-1.1421,0.8078
8.5845,-0.61647,0.98085
8.5395,-0.085548,1.1864
8.4474,0.44779,1.4263
8.3059,0.98055,1.6996
8.1132,1.5096,2.0019
7.8681,2.0315,2.3239
7.5703,2.543,2.6505
7.2209,3.0406,2.9612
6.8226,3.521,3.2307
6.3799,3.981,3.4326
5.8993,4.4177,3.5428
5.3885,4.8288,3.5449
4.8561,5.2122,3.4332
4.311,5.5665,3.2152
3.761,5.8908,2.9104
3.2127,6.1846,2.5466
2.6707,6.4478,2.1548
2.1377,6.6805,1.7647
1.6149,6.8829,1.4001
1.1018,7.0553,1.0777
0.59756,7.1979,0.80596
0.10066,7.3108,0.58684
-0.39022,7.394,0.41717
-0.87615,7.4476,0.29066
-1.3577,7.4714,0.19962
-1.8351,7.4654,0.13627
-2.3079,7.4295,0.093531
-2.7753,7.3635,0.065494
-3.2363,7.2674,0.047541
-3.6894,7.1415,0.036253
-4.1332,6.9857,0.029222
-4.566,6.8003,0.024833
-4.9861,6.5858,0.022041
-5.3918,6.3427,0.0202
-5.7813,6.0714,0.018922
-6.153,5.7728,0.01798
-6.5051,5.4476,0.017246
-6.8361,5.0969,0.016648
-7.1444,4.7216,0.016146
-7.4285,4.3229,0.015717
-7.6869,3.9021,0.015348
-7.9184,3.4606,0.015031
-8.1217,2.9998,0.014759
-8.2957,2.5214,0.014529
-8.4392,2.0269,0.014339
-8.5514,1.5181,0.014185
-8.6313,0.99688,0.014067
-8.6784,0.46505,0.013984
-8.6919,-0.075399,0.013933
-8.6715,-0.62246,0.013916
-8.6167,-1.1741,0.013933
-8.5273,-1.7281,0.013982
-8.4033,-2.2825,0.014066
-8.2448,-2.8349,0.014185
-8.0518,-3.3833,0.01434
-7.8247,-3.9254,0.014534
-7.564,-4.459,0.014769
-7.2702,-4.9819,0.015047
-6.9442,-5.492,0.015373
-6.5868,-5.9869,0.01575
-6.199,-6.4647,0.016184
-5.7819,-6.9233,0.016679
-5.3369,-7.3605,0.017245
-4.8652,-7.7743,0.017889
-4.3685,-8.163,0.018621
-3.8484,-8.5246,0.019455
-3.3066,-8.8574,0.020404
-2.7449,-9.1596,0.021487
-2.1654,-9.4298,0.022726
-1.5702,-9.6665,0.024148
-0.96126,-9.8683,0.025787
-0.34093,-10.034,0.027685
0.2885,-10.162,0.029893
0.92464,-10.253,0.032478
1.5651,-10.304,0.035525
2.2073,-10.315,0.039142
2.8488,-10.287,0.043471
3.4869,-10.218,0.048696
4.1192,-10.107,0.055063
4.7428,-9.9564,0.062902
5.3552,-9.7646,0.072658
5.9538,-9.5323,0.08494
6.5357,-9.2599,0.10059
7.0983,-8.9481,0.12079
7.6388,-8.5977,0.14719
8.1543,-8.2096,0.18217
8.6419,-7.785,0.22911
9.0985,-7.3254,0.29293
9.5207,-6.8323,0.38076
9.9046,-6.3076,0.50302
10.246,-5.7535,0.67488
10.539,-5.1724,0.91837
10.776,-4.5672,1.2651
10.95,-3.9413,1.7596
11.046,-3.299,2.4624
11.05,-2.6452,3.4514
10.941,-1.9863,4.8169
10.691,-1.3301,6.6442
10.271,-0.68644,8.9736
9.6515,-0.067046,11.734
8.8151,0.51462,14.664
7.7672,1.0444,17.282
6.5495,1.5095,18.975
5.2406,1.9006,19.245
3.9401,2.214,17.981
2.7403,2.4523,15.526
1.7021,2.6228,12.495
0.84665,2.7357,9.4745
0.16383,2.8017,6.8469
-0.374,2.8301,4.7644
-0.79917,2.8287,3.2194
-1.1412,2.8032,2.127
-1.4239,2.7578,1.3813
-1.6646,2.6954,0.88595
-1.8756,2.6181,0.56384
-2.0651,2.5272,0.35799
-2.2381,2.4238,0.22837
-2.3977,2.3086,0.14776
-2.5458,2.1823,0.098186
-2.6832,2.0454,0.067974
-2.8103,1.8984,0.0497
-2.927,1.742,0.038705
-3.0331,1.5765,0.032105
-3.1282,1.4027,0.028139
-3.2121,1.221,0.025742
-3.2843,1.0321,0.024277
-3.3443,0.83665,0.023368
-3.392,0.63535,0.022794
-3.4268,0.42892,0.022425
-3.4486,0.21809,0.022188
-3.4572,0.0036503,0.022039
-3.4522,-0.21361,0.021954
-3.4335,-0.43288,0.021919
-3.4011,-0.65331,0.021926
-3.355,-0.87406,0.021972
-3.295,-1.0943,0.022055
-3.2213,-1.313,0.022173
-3.1341,-1.5295,0.022327
-3.0334,-1.7428,0.022518
-2.9195,-1.9521,0.022745
-2.7926,-2.1564,0.023011
-2.6532,-2.3549,0.023317
-2.5017,-2.5468,0.023664
-2.3383,-2.7312,0.024056
-2.1637,-2.9073,0.024493
-1.9784,-3.0744,0.024979
-1.783,-3.2315,0.025517
-1.5782,-3.3781,0.026111
-1.3645,-3.5133,0.026762
-1.1428,-3.6366,0.027477
-0.91384,-3.7472,0.02826
-0.67839,-3.8446,0.029114
-0.43733,-3.9283,0.030047
-0.19154,-3.9977,0.031063
0.058088,-4.0524,0.03217
0.3106,-4.0921,0.033375
0.56505,-4.1162,0.034686
0.82044,-4.1247,0.036111
1.0758,-4.1172,0.03766
1.3301,-4.0935,0.039342
1.5823,-4.0536,0.041169
1.8314,-3.9975,0.043152
2.0763,-3.9251,0.045301
2.3161,-3.8366,0.047631
2.5498,-3.732,0.050153
2.7762,-3.6116,0.05288
2.9945,-3.4758,0.055825
3.2036,-3.3248,0.058999
3.4027,-3.159,0.062411
3.5907,-2.9789,0.066072
3.7668,-2.7852,0.069985
3.9302,-2.5783,0.074153
4.0799,-2.3589,0.078571
4.2153,-2.1278,0.08323
4.3357,-1.8858,0.088111
4.4402,-1.6336,0.093187
4.5285,-1.3721,0.098418
4.5997,-1.1024,0.10375
4.6536,-0.82525,0.10912
4.6896,-0.54181,0.11445
4.7074,-0.2531,0.11964
4.7067,0.039804,0.12457
4.6873,0.33577,0.12914
4.649,0.63367,0.13319
4.5919,0.93233,0.13661
4.516,1.2306,0.13925
4.4212,1.5272,0.14098
4.308,1.8211,0.14171
4.1765,2.111,0.14133
4.0271,2.3957,0.13981
3.8602,2.674,0.13713
3.6763,2.9449,0.13332
3.476,3.207,0.12847
3.26,3.4594,0.12268
3.0289,3.701,0.11613
2.7835,3.9305,0.10899
2.5246,4.1472,0.10147
2.2531,4.3498,0.093786
1.9698,4.5376,0.086127
1.6757,4.7096,0.078677
1.3719,4.865,0.071585
1.0592,5.003,0.064967
0.73894,5.1227,0.058902
0.41208,5.2237,0.053432
0.079836,5.3052,0.048566
-0.25661,5.3667,0.044288
-0.59604,5.4077,0.040561
-0.93717,5.4278,0.037335
-1.2787,5.4267,0.034554
-1.6194,5.4041,0.032162
-1.9579,5.3599,0.030102
-2.2928,5.2939,0.028324
-2.6228,5.2062,0.026783
-2.9466,5.0968,0.025443
-3.2629,4.966,0.02427
-3.5702,4.8138,0.02324
-3.8673,4.6407,0.022331
-4.153,4.4471,0.021526
-4.4258,4.2335,0.020812
-4.6847,4.0004,0.020178
-4.9284,3.7486,0.019615
-5.1558,3.4788,0.019115
-5.3658,3.1919,0.018673
-5.5573,2.8887,0.018283
-5.7294,2.5702,0.017943
-5.8811,2.2375,0.017647
-6.0115,1.8917,0.017394
-6.12,1.5341,0.017181
-6.2058,1.1658,0.017007
-6.2683,0.78819,0.01687
-6.3069,0.40263,0.016768
-6.3212,0.010542,0.016702
-6.3109,-0.38663,0.01667
-6.2756,-0.78738,0.016673
-6.2152,-1.1902,0.016711
-6.1296,-1.5935,0.016783
-6.0188,-1.9957,0.016892
-5.8829,-2.3953,0.017038
-5.7223,-2.7905,0.017223
-5.5371,-3.1799,0.017448
-5.3277,-3.5618,0.017715
-5.0949,-3.9347,0.018028
-4.839,-4.2968,0.018389
-4.5609,-4.6468,0.018803
-4.2614,-4.983,0.019273
-3.9413,-5.3039,0.019805
-3.6017,-5.6082,0.020405
-3.2437,-5.8944,0.02108
-2.8684,-6.1611,0.021839
-2.4772,-6.4071,0.022691
-2.0712,-6.6311,0.023647
-1.6521,-6.832,0.024721
-1.2211,-7.0087,0.02593
-0.78002,-7.1602,0.027291
-0.33031,-7.2856,0.028827
0.12633,-7.3841,0.030566
0.58816,-7.4549,0.032537
1.0534,-7.4975,0.034781
1.5204,-7.5113,0.037344
1.9871,-7.4959,0.040281
2.4517,-7.451,0.043662
